,start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,rsi,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
83,1672801200000.0,16732.0,16869.5,16732.0,16853.5,14170.986,238238658.9725,2023-01-04 03:00:00,16798.99,16697.64,16596.29,14.1,-0.36,14.46,71.59,5.200000000000728,upper,0.35,-3.98,True,True,True,True,False
84,1672804800000.0,16853.5,16898.5,16844.0,16851.0,6929.607,116904219.1495,2023-01-04 04:00:00,16835.42,16712.25,16589.08,24.51,4.6,19.9,71.08,8.799999999999272,upper,14.1,-0.36,True,True,True,True,True
147,1673031600000.0,16841.0,16958.0,16838.5,16930.5,9355.198,158172659.9845,2023-01-06 19:00:00,16903.98,16813.06,16722.14,8.9,-5.14,14.04,66.82,-6.200000000000728,upper,-1.57,-8.65,True,True,True,True,False
191,1673190000000.0,16945.5,17010.5,16933.5,16990.0,4902.592,83226058.93,2023-01-08 15:00:00,16965.27,16935.04,16904.81,9.1,7.15,1.95,70.69,-51.900000000001455,upper,4.75,6.67,True,True,True,True,True
199,1673218800000.0,16955.0,17190.0,16955.0,17119.5,17641.011,301267545.133,2023-01-08 23:00:00,17041.34,16955.3,16869.27,20.56,8.93,11.62,77.17,44.79999999999927,upper,6.9,6.03,True,True,True,True,True
200,1673222400000.0,17119.5,17189.5,17094.0,17175.5,8949.443,153354396.732,2023-01-09 00:00:00,17107.56,16976.27,16844.98,35.5,14.25,21.24,80.6,7.700000000000728,upper,20.56,8.93,True,True,True,True,True
201,1673226000000.0,17175.5,17225.0,17136.5,17163.5,6986.618,120034147.0065,2023-01-09 01:00:00,17152.21,16994.11,16836.0,45.84,20.56,25.27,77.9,23.599999999998545,upper,35.5,14.25,True,True,True,True,True
218,1673287200000.0,17343.0,17385.0,17312.5,17331.5,5970.819,103600481.893,2023-01-09 18:00:00,17320.51,17208.67,17096.83,78.44,72.71,5.72,75.59,-93.90000000000146,upper,77.08,71.28,True,True,True,True,True
239,1673362800000.0,17278.5,17362.5,17255.5,17308.5,9730.164,168432492.957,2023-01-10 15:00:00,17302.5,17231.25,17160.0,23.51,20.19,3.32,62.84,38.29999999999927,upper,18.83,19.36,True,True,True,True,True
242,1673373600000.0,17308.0,17433.0,17307.5,17417.5,11574.743,201241489.882,2023-01-10 18:00:00,17375.39,17260.14,17144.89,38.56,25.79,12.77,71.1,14.400000000001455,upper,28.06,22.6,True,True,True,True,True
243,1673377200000.0,17417.5,17444.0,17376.5,17410.5,6439.663,112126934.1935,2023-01-10 19:00:00,17407.49,17274.46,17141.43,45.79,29.79,16.0,69.92,24.0,upper,38.56,25.79,True,True,True,True,True
244,1673380800000.0,17410.5,17478.5,17384.0,17463.5,7693.205,134189777.3975,2023-01-10 20:00:00,17452.94,17292.46,17131.99,55.16,34.87,20.29,73.52,-21.700000000000728,upper,45.79,29.79,True,True,True,True,True
266,1673460000000.0,17372.0,17548.0,17372.0,17478.0,15199.06,265562334.074,2023-01-11 18:00:00,17464.73,17394.07,17323.42,18.62,26.27,-7.64,63.33,48.29999999999927,upper,12.36,28.18,False,True,False,True,True
267,1673463600000.0,17478.0,17540.0,17459.5,17536.0,4434.115,77646837.3295,2023-01-11 19:00:00,17496.47,17407.59,17318.71,27.94,26.6,1.33,68.38,80.5,upper,18.62,26.27,True,True,True,True,True
268,1673467200000.0,17536.0,17570.0,17495.0,17537.5,5175.214,90728440.1265,2023-01-11 20:00:00,17522.64,17419.96,17317.28,35.04,28.29,6.75,68.5,223.59999999999854,upper,27.94,26.6,True,True,True,True,True
271,1673478000000.0,17544.0,18031.0,17536.0,17929.0,33337.594,593761149.6835,2023-01-11 23:00:00,17735.26,17488.17,17241.08,77.67,42.22,35.44,85.83,231.09999999999854,upper,44.22,33.36,True,True,True,True,True
272,1673481600000.0,17929.0,18320.0,17896.0,18259.0,22898.825,413875020.562,2023-01-12 00:00:00,17986.45,17561.59,17136.72,129.31,59.64,69.67,90.57,-44.400000000001455,upper,77.67,42.22,True,True,True,True,True
273,1673485200000.0,18259.0,18289.5,18133.0,18215.5,11773.355,214262224.277,2023-01-12 01:00:00,18146.2,17623.86,17101.53,164.83,80.68,84.15,86.46,-37.79999999999927,upper,129.31,59.64,True,True,True,True,True
289,1673542800000.0,18127.0,18900.0,18099.0,18833.5,46472.443,863758206.766,2023-01-12 17:00:00,18549.64,18107.56,17665.49,189.19,175.03,14.15,78.36,33.099999999998545,upper,141.96,171.49,True,True,True,True,True
290,1673546400000.0,18833.5,18985.0,18602.5,18784.5,24627.683,462728675.3445,2023-01-12 18:00:00,18601.68,18172.03,17742.39,220.13,184.05,36.07,75.77,93.5,upper,189.19,175.03,True,True,True,True,True
291,1673550000000.0,18784.5,19099.0,18747.5,18874.5,16854.988,318496214.9605,2023-01-12 19:00:00,18734.4,18238.93,17743.47,249.04,197.05,51.99,77.26,10.599999999998545,upper,220.13,184.05,True,True,True,True,True
292,1673553600000.0,18874.5,19080.0,18810.0,19037.0,11195.387,212008865.296,2023-01-12 20:00:00,18913.95,18314.94,17715.92,281.82,214.0,67.81,79.68,-176.20000000000073,upper,249.04,197.05,True,True,True,True,True
310,1673618400000.0,18841.0,19151.5,18817.0,18983.5,15334.522,291355285.3845,2023-01-13 14:00:00,18931.08,18778.2,18625.33,161.48,188.22,-26.73,64.03,186.29999999999927,upper,162.14,194.9,False,False,False,True,True
311,1673622000000.0,18983.5,19288.0,18974.0,19237.0,31157.598,597070824.882,2023-01-13 15:00:00,19046.47,18821.9,18597.33,179.35,186.44,-7.09,71.02,5.099999999998545,upper,161.48,188.22,False,True,False,True,True
312,1673625600000.0,19237.0,19247.0,19030.5,19110.0,11961.061,228627709.0235,2023-01-13 16:00:00,19086.16,18849.34,18612.52,181.17,185.39,-4.21,64.28,175.0,upper,179.35,186.44,False,True,False,True,True
313,1673629200000.0,19110.0,19398.0,19087.5,19237.5,19688.14,379329248.819,2023-01-13 17:00:00,19166.08,18886.3,18606.53,190.7,186.45,4.25,67.6,184.29999999999927,upper,181.17,185.39,True,True,True,True,True
314,1673632800000.0,19237.5,19375.0,19237.5,19281.0,8802.415,169872493.0225,2023-01-13 18:00:00,19248.26,18923.89,18599.53,199.47,189.06,10.41,68.67,259.7000000000007,upper,190.7,186.45,True,True,True,True,True
315,1673636400000.0,19281.0,19356.0,19228.5,19345.0,7555.908,145765336.6125,2023-01-13 19:00:00,19332.7,18964.0,18595.3,209.17,193.08,16.09,70.23,321.2999999999993,upper,199.47,189.06,True,True,True,True,True
316,1673640000000.0,19345.0,19480.0,19293.5,19451.5,16331.951,316699716.699,2023-01-13 20:00:00,19427.32,19010.43,18593.54,222.88,199.04,23.84,72.67,524.5999999999985,upper,209.17,193.08,True,True,True,True,True
317,1673643600000.0,19451.5,19922.0,19353.0,19794.0,37062.971,729017194.3975,2023-01-13 21:00:00,19621.39,19085.05,18548.71,258.41,210.91,47.49,78.71,477.09999999999854,upper,222.88,199.04,True,True,True,True,True
318,1673647200000.0,19794.0,20013.5,19768.5,19832.0,22312.851,443732533.306,2023-01-13 22:00:00,19785.01,19156.19,18527.37,286.33,225.99,60.33,79.25,669.0999999999985,upper,258.41,210.91,True,True,True,True,True
320,1673654400000.0,19909.0,21550.0,19869.5,20894.0,98605.159,2044585629.7565,2023-01-14 00:00:00,20416.57,19386.56,18356.56,405.5,275.51,129.99,88.66,36.400000000001455,upper,311.08,243.01,True,True,True,True,True
321,1673658000000.0,20894.0,21105.0,20686.0,20926.5,23288.419,486453761.712,2023-01-14 01:00:00,20772.95,19533.22,18293.5,477.45,315.9,161.55,88.82,-3.2000000000007276,upper,405.5,275.51,True,True,True,True,True
342,1673733600000.0,20905.5,21057.5,20872.5,20997.0,4108.019,86141213.699,2023-01-14 22:00:00,20949.8,20685.28,20420.75,274.47,331.87,-57.39,68.8,-162.09999999999854,upper,278.91,346.22,False,False,False,True,True
369,1673830800000.0,20975.0,21356.5,20926.5,21192.5,20809.594,440200909.0825,2023-01-16 01:00:00,21119.9,20872.1,20624.3,94.78,79.36,15.42,69.97,-23.700000000000728,upper,75.08,75.5,True,True,True,True,True
370,1673834400000.0,21192.5,21450.0,21132.5,21212.5,13731.297,292520586.954,2023-01-16 02:00:00,21195.86,20904.52,20613.17,110.72,85.63,25.09,70.6,-50.099999999998545,upper,94.78,79.36,True,True,True,True,True
410,1673978400000.0,21213.0,21413.0,21177.5,21351.5,7843.463,167070305.875,2023-01-17 18:00:00,21322.0,21177.62,21033.23,55.58,51.14,4.43,62.43,-40.20000000000073,upper,45.59,50.03,True,True,True,True,True
429,1674046800000.0,21251.5,21493.5,21165.0,21398.5,23373.39,498666128.218,2023-01-18 13:00:00,21381.9,21245.43,21108.96,25.58,25.28,0.29,61.09,-285.09999999999854,upper,13.37,25.2,True,True,True,True,True
430,1674050400000.0,21398.5,21673.0,21305.0,21418.0,26685.668,572790366.394,2023-01-18 14:00:00,21409.69,21261.86,21114.03,36.4,27.5,8.9,62.07,-399.5,upper,25.58,25.28,True,True,True,True,True
459,1674154800000.0,20962.5,21123.5,20933.5,21075.0,9738.088,204982412.21,2023-01-19 19:00:00,21036.05,20861.41,20686.78,-7.04,-50.54,43.49,63.78,-39.29999999999927,upper,-28.72,-61.41,True,True,True,False,False
478,1674223200000.0,21044.0,21164.0,21005.5,21144.0,7575.924,159816235.472,2023-01-20 14:00:00,21129.37,20993.01,20856.65,33.26,23.37,9.89,62.92,111.20000000000073,upper,22.86,20.89,True,True,True,True,True
480,1674230400000.0,21126.0,21407.0,21126.0,21299.5,20339.876,433092091.985,2023-01-20 16:00:00,21219.94,21033.66,20847.37,57.95,32.88,25.06,69.86,256.59999999999854,upper,39.6,26.61,True,True,True,True,True
481,1674234000000.0,21299.5,21400.0,21259.5,21337.5,9973.99,212824678.4515,2023-01-20 17:00:00,21283.43,21062.59,20841.76,74.7,41.24,33.45,71.37,419.59999999999854,upper,57.95,32.88,True,True,True,True,True
482,1674237600000.0,21337.5,21417.0,21270.5,21369.0,8264.422,176436350.8325,2023-01-20 18:00:00,21352.14,21091.77,20831.41,89.48,50.89,38.59,72.6,636.5,upper,74.7,41.24,True,True,True,True,True
